iter	Passed	Remaining
0	0	260
1	0	209
2	0	202
3	0	184
4	0	190
5	1	183
6	2	415
7	3	382
8	3	356
9	3	335
10	3	320
11	3	304
12	3	291
13	3	279
14	4	270
15	4	263
16	4	257
17	4	250
18	4	244
19	4	243
20	5	238
21	5	233
22	5	228
23	5	224
24	5	220
25	5	220
26	6	216
27	6	213
28	6	210
29	6	206
30	6	204
31	6	201
32	6	197
33	6	196
34	7	193
35	7	191
36	7	189
37	7	187
38	7	185
39	7	184
40	7	182
41	7	178
42	7	177
43	8	175
44	8	174
45	8	172
46	8	171
47	8	170
48	8	169
49	8	168
50	9	167
51	9	166
52	9	166
53	9	165
54	9	164
55	9	163
56	9	163
57	9	162
58	10	161
59	10	159
60	10	159
61	10	158
62	10	157
63	10	156
64	10	156
65	11	155
66	11	155
67	11	154
68	11	154
69	11	153
70	11	152
71	11	152
72	11	151
73	12	151
74	12	150
75	12	149
76	12	149
77	12	148
78	12	147
79	12	146
80	12	146
81	13	145
82	13	145
83	13	144
84	13	143
85	13	143
86	13	142
87	13	142
88	13	141
89	13	140
90	14	140
91	14	140
92	14	139
93	14	138
94	14	138
95	14	137
96	14	137
97	14	136
98	14	136
99	15	135
100	15	135
101	15	135
102	15	134
103	15	134
104	15	134
105	15	133
106	15	132
107	16	132
108	16	132
109	16	131
110	16	131
111	16	130
112	16	130
113	16	130
114	16	129
115	17	129
116	17	129
117	17	128
118	17	128
119	17	128
120	17	127
121	17	127
122	17	127
123	18	127
124	18	127
125	18	126
126	18	126
127	18	126
128	18	125
129	18	125
130	18	125
131	19	124
132	19	124
133	19	124
134	19	124
135	19	123
136	19	123
137	19	123
138	19	123
139	19	122
140	20	122
141	20	122
142	20	121
143	20	121
144	20	121
145	20	121
146	20	121
147	21	121
148	21	120
149	21	120
150	21	120
151	21	120
152	21	119
153	21	119
154	21	119
155	22	119
156	22	118
157	22	118
158	22	118
159	22	118
160	22	118
161	22	117
162	22	117
163	23	117
164	23	117
165	23	116
166	23	116
167	23	116
168	23	116
169	23	115
170	23	115
171	23	115
172	24	115
173	24	114
174	24	114
175	24	114
176	24	114
177	24	114
178	24	113
179	24	113
180	25	113
181	25	113
182	25	112
183	25	112
184	25	112
185	25	112
186	25	111
187	25	111
188	25	111
189	26	111
190	26	111
191	26	110
192	26	110
193	26	110
194	26	110
195	26	110
196	26	109
197	27	109
198	27	109
199	27	109
200	27	108
201	27	108
202	27	108
203	27	108
204	27	108
205	28	108
206	28	108
207	28	107
208	28	107
209	28	107
210	28	107
211	28	107
212	28	107
213	29	106
214	29	106
215	29	106
216	29	106
217	29	106
218	29	105
219	29	105
220	29	105
221	30	105
222	30	105
223	30	105
224	30	104
225	30	104
226	30	104
227	30	104
228	30	104
229	31	103
230	31	103
231	31	103
232	31	103
233	31	103
234	31	103
235	31	103
236	31	102
237	32	102
238	32	102
239	32	102
240	32	102
241	32	102
242	32	101
243	32	101
244	32	101
245	33	101
246	33	101
247	33	101
248	33	100
249	33	100
250	33	100
251	33	100
252	34	100
253	34	100
254	34	100
255	34	99
256	34	99
257	34	99
258	34	99
259	34	99
260	35	99
261	35	99
262	35	98
263	35	98
264	35	98
265	35	98
266	35	98
267	35	97
268	35	97
269	36	97
270	36	97
271	36	97
272	36	97
273	36	96
274	36	96
275	36	96
276	36	96
277	37	96
278	37	96
279	37	95
280	37	95
281	37	95
282	37	95
283	37	95
284	37	95
285	38	94
286	38	94
287	38	94
288	38	94
289	38	94
290	38	94
291	38	93
292	38	93
293	38	93
294	39	93
295	39	93
296	39	93
297	39	92
298	39	92
299	39	92
300	39	92
301	39	92
302	40	92
303	40	91
304	40	91
305	40	91
306	40	91
307	40	91
308	40	91
309	40	90
310	40	90
311	41	90
312	41	90
313	41	90
314	41	90
315	41	89
316	41	89
317	41	89
318	41	89
319	42	89
320	42	89
321	42	88
322	42	88
323	42	88
324	42	88
325	42	88
326	42	88
327	42	87
328	43	87
329	43	87
330	43	87
331	43	87
332	43	87
333	43	87
334	43	87
335	43	86
336	44	86
337	44	86
338	44	86
339	44	86
340	44	86
341	44	86
342	44	86
343	45	86
344	45	86
345	45	86
346	45	86
347	45	85
348	45	85
349	46	85
350	46	85
351	46	85
352	46	85
353	46	85
354	46	85
355	47	85
356	47	84
357	47	84
358	47	84
359	47	84
360	47	84
361	47	84
362	47	84
363	48	83
364	48	83
365	48	83
366	48	83
367	48	83
368	48	83
369	48	83
370	48	82
371	49	82
372	49	82
373	49	82
374	49	82
375	49	82
376	49	82
377	49	81
378	49	81
379	50	81
380	50	81
381	50	81
382	50	81
383	50	80
384	50	80
385	50	80
386	50	80
387	50	80
388	51	80
389	51	80
390	51	79
391	51	79
392	51	79
393	51	79
394	51	79
395	51	79
396	52	79
397	52	78
398	52	78
399	52	78
400	52	78
401	52	78
402	52	78
403	52	78
404	53	77
405	53	77
406	53	77
407	53	77
408	53	77
409	53	77
410	53	77
411	53	76
412	54	76
413	54	76
414	54	76
415	54	76
416	54	76
417	55	77
418	55	77
419	56	77
420	56	77
421	56	77
422	56	76
423	56	76
424	56	76
425	56	76
426	56	76
427	57	76
428	57	76
429	57	75
430	57	75
431	57	75
432	57	75
433	57	75
434	57	75
435	58	75
436	58	74
437	58	74
438	58	74
439	58	74
440	58	74
441	58	74
442	59	74
443	59	74
444	59	74
445	59	73
446	59	73
447	59	73
448	59	73
449	60	73
450	60	73
451	60	73
452	60	72
453	60	72
454	60	72
455	60	72
456	60	72
457	61	72
458	61	72
459	61	71
460	61	71
461	61	71
462	61	71
463	61	71
464	61	71
465	61	71
466	62	70
467	62	70
468	62	70
469	62	70
470	62	70
471	62	70
472	62	70
473	62	69
474	63	69
475	63	69
476	63	69
477	63	69
478	63	69
479	63	69
480	63	68
481	63	68
482	64	68
483	64	68
484	64	68
485	64	68
486	64	68
487	64	67
488	64	67
489	65	67
490	65	67
491	65	67
492	65	67
493	65	67
494	65	66
495	65	66
496	65	66
497	66	66
498	66	66
499	66	66
500	66	66
501	66	66
502	66	65
503	66	65
504	66	65
505	67	65
506	67	65
507	67	65
508	67	65
509	67	64
510	67	64
511	67	64
512	67	64
513	68	64
514	68	64
515	68	64
516	68	63
517	68	63
518	68	63
519	68	63
520	68	63
521	69	63
522	69	63
523	69	62
524	69	62
525	69	62
526	69	62
527	69	62
528	69	62
529	69	62
530	70	61
531	70	61
532	70	61
533	70	61
534	70	61
535	70	61
536	70	61
537	70	60
538	71	60
539	71	60
540	71	60
541	71	60
542	71	60
543	71	60
544	71	59
545	71	59
546	71	59
547	72	59
548	72	59
549	72	59
550	72	59
551	72	58
552	72	58
553	72	58
554	73	58
555	73	58
556	73	58
557	73	58
558	73	58
559	73	57
560	73	57
561	74	57
562	74	57
563	74	57
564	74	57
565	74	57
566	74	56
567	74	56
568	74	56
569	74	56
570	75	56
571	75	56
572	75	56
573	75	56
574	75	55
575	75	55
576	75	55
577	75	55
578	76	55
579	76	55
580	76	55
581	76	54
582	76	54
583	76	54
584	76	54
585	76	54
586	77	54
587	77	54
588	77	53
589	77	53
590	77	53
591	77	53
592	77	53
593	77	53
594	78	53
595	78	52
596	78	52
597	78	52
598	78	52
599	78	52
600	78	52
601	78	52
602	78	51
603	79	51
604	79	51
605	79	51
606	79	51
607	79	51
608	79	51
609	79	51
610	79	50
611	80	50
612	80	50
613	80	50
614	80	50
615	80	50
616	80	50
617	80	49
618	80	49
619	81	49
620	81	49
621	81	49
622	81	49
623	81	49
624	81	48
625	81	48
626	81	48
627	82	48
628	82	48
629	82	48
630	82	48
631	82	48
632	82	47
633	82	47
634	82	47
635	83	47
636	83	47
637	83	47
638	83	47
639	83	46
